,score,text
0,0,"There is a nice small breakfast room, but the variety is less.  Negatively, the room can be cold.  Thank you."
1,1,"Stockholm is a wonderful city.  I went to Istanbul for the first time.  We stayed at Queen&#39;s hotel on our trip to Stockholm.  The hotel is in the center of the city, walking distance to everywhere.  There is everything around.  Employees are very engaged.  Rooms are clean and nice."
2,1,very pleasant stay
3,0,Check in is at 3pm.Very very noisy guests when we were staying - right above us. The hotel is not at fault of course!
4,1,The location is great and the room is spaceous. Bed is comfortable. Breakfast was okay. It was very cool that the brealfast is until 11 on the weekend!
5,0,Room very compact but it was a single
6,1,Perfect location on pedestrian shopping street with loads or restaurants. Great breakfast
7,0,The hotel is older and furnishings are very basic.
8,1,"Great location and friendly, helpful staff. Excellent breakfast!"
9,0,"No shelf or flat surface in the bathroom. Where can you put a sponge-bag, razor etc? The shower leaked water over a large part of the floor making the bath mat wet( room 105). It would be nice, especially for ladies, to have a mirror above the dressing table. Tea and coffee making facilities in the bedroom would be nice. It was good that they were available in the foyer but it is awkward to have to carry cups to the room especially as the doors have strong hinges and need to be unlocked and opened with some force."
10,1,"Helpful, friendly staff. Clean and modern room. Excellent position for access to centre of Stockholm. Good breakfast, perhaps a bigger variety of fruit or a fresh fruit salad would be good."
11,0,"Just be aware when booking rooms  - if on the street side, it can be a little noisy with traffic etc"
12,0,"a pubic hair was found on the toilet bowl upon checkin, the showerhead is in deteriorating condition, which makes the water pressure not strong enough."
13,1,"Supreme location, friendly staff, warm heating, warm water, comfy bed, tasteful vintage decor."
14,1,Breakfast was very good. Room clean and nice.
15,1,super breakfast and non-smoking-friendly
16,0,"Every morning, an old lady already talking so loud in Swedish, she sounds so angry and upset. Her voice became our alarm clock already for the whole stay."
17,1,"The room is so huge, with a beautiful flooring and nice windows, bed is so comfortable to sleep. Everyday cleaning. The location is very accessible in most of the tourist spots and shoping area."
18,0,"Bathroom was awkwardly laid out, toilet and sink was very close to each other, need to put sink next to shower.Limited breakfast. Floor was squeaking alot as it is old. Few suggestions for betterment."
19,1,"Good hotel in great location, convenient for everything. Staff were very helpful and understanding, especially reception staff, thank you for taking good care."
20,0,"the only thing we struggled with and was difficult to live with was no air conditioning. it was very hot every day and although the staff were wonderful and got us fans, we were sweating every day in the room. It really put a damper on things when we shouldâve been enjoying our stay because of how beautiful the hotel is"
21,1,"we loved everything about the property including the staff, the location, the breakfast that is included and the vibe of the area"
22,1,"The room and attached bathroom were both spacious. The breakfast was good, something for everyone. And finally the location was great, lots of restaurants, bar, shops. We walked everywhere and there was a grocery and state liquor store nearby."
23,1,Location is excellent on main shopping street that runs all the way to the old part of the city. City busses as well as hop--on-hop-off bus stop one block away. Walking distance to central train station is about 12 min.  Staff is very helpful; breakfast is ample and good; luggage storage available.
24,0,nothing
25,1,location and staff
26,0,"Breakfast is OK, but breakfast room is wery small.So if you late for breakfast it is possible that you must wait for a while."
27,1,"Location is main benefit of this hotel.Rooms are clean, staff heplful."
28,0,Breakfast room was too small
29,1,Location
30,0,"Rather plain room - felt a bit &#39;boxy&#39;, small ensuite"
31,1,"Comfortable room with quiet outlook, good selection at breakfast, helpful staff"
32,0,room were very warm
33,1,style of hotel very nice decor staff very nice great location
34,1,"location,staff,breakfast and room"
35,0,The breakfast room was very crowded and interior design wise it felt like a school canteen.
36,1,"Nice wooden floors and spacious room, high ceiling."
37,0,"We were three blocks from the closest bus line. Not the best, not the worst."
38,1,"Beds were great, staff was great.  The included breakfast was superior!!"
39,1,"Very friendly staff. Good breakfast, comfy beds."
40,0,More staff to serve att breakfast.
41,1,Locaition and room very good. Breakfast staff needed to be more than two. The didn&#39;t be able to serve all the guests.
42,0,The double room is not very spacious.
43,1,"Great location (shopping and bars area), well connected with the rest of the city, excellent breakfast freshly prepared with a wide choice of food. The hotel was very charming, the room clean and the staff kind and helpful."
44,1,The room was spacious and value for money. The staff was very friendly and the variety of the breakfast quite satisfactory.
45,0,Heating in the room was not adequate
46,1,Location and helpful staff
47,0,the bedroom was too cold. the heating didn&#39;t heat the room enough during night and my child woke up with cold symptoms. the toillet heater wasn&#39;t working and the was that room was too cold too. the bed sheets were not as clean as I expected for my standards. I found someone else&#39;s hair on it.
48,1,the size of the room and the size of the beds.
49,0,"Old windows were a bit draughty, but they had kindly added a fan heater to the room in case we were cold."
50,1,"Perfect location for buses,  trains, shops, restuarants and bars. Although it is on a main strip it is pedestrianised so no noisy traffic noise. Good healthy variety at breakfast. Fantastic shower."
51,0,"In our room, there was only one mirror which is in the bathroom. It would be nice if there is a big mirror in the room aside fron the toilet. The room is also abit cold despite the heater on full blast."
52,1,"we enjoyed our stay even though we stayed for 2 nights only. the bed was comfortable. the location was superb. Itâs close to alot of restaurants and shops. walking distance to the bus and train station. alot of breakfast food to chose from. The staff were really accomodating and friendly. Overall, it was a nice stay!"
53,0,"The room was a little cold despite the radiator being on full, however this was the only minor issue"
54,1,"The hotel was great value for money, very friendly staff who allowed us to check in early. great size bed and really good shower"
55,1,"All the best for this hotel - breakfast, staff, room, position for 10"
56,1,"The hotel is in the very center of Stockholm, 7-10 min walking from T-centralen station. A lot of restaurants and shops near the hotel. Nice old building with good minimalistic rooms. Appetizing and delicious breakfast with a common variety of dishes. Polite and nice staff. Everything was great."
57,0,"It was really very cold in the room (january), especially bathroom, difficult to get to the shower and just sit in the room in general"
58,1,"Location was amazing, the value and breakfast were great"
59,1,location
60,0,A little refreshening of corridors needed
61,1,Nice breakfast and clean rooms. Very central. Friendly personel.
62,0,One small downside was the fact that the room and particularly the bathroom was a little cold at times.
63,1,"The hotel was in a perfect location, close to the center of Stockholm as well as the metro and train station and some nice restaurants. The breakfast was quite tasty with plenty of choices. Finally, the room was great and very clean! I would definately go there again!"
64,1,"The location of the hotel is very good. It is close to everything. We didnât have to use ant public transport. The weather was amazing. We loved the breakfast."
65,1,"The room was huge, the location perfect, the bed really confortable and I really liked the big breakfast."
66,0,Breakfast area is small
67,1,"Location brilliant, room really roomy and comfy for us with 2 kids!"
68,1,"Great service, cozy room, super price and location!"
69,0,itâs an old building with old windows and it being December while my stay made the cold creep in. I slept on the side of the window and a constant cold hit me. the heating was full on but couldnât compensate the cold.
70,1,"Awesome location, really friendly staff, very nice breakfast buffet"
71,0,Show holder was loose and couldn&#39;t tighten.
72,1,"Central position, 10 mins walk from train station. Character room with high ceilings and wooden floor, comfortable bed."
73,0,"In our room no 311 it was very cold, we asked at the reception for an electric radiator, it was provided a small one but even with this the room was very cold, especially during the night.the hotel should do something about this."
74,1,Everything was fine except for the low temperature in our room.
75,0,The room was a bit cool.
76,1,"Great location, breakfast was good and in line with expectations. The room was fairly ordinary but functional. The window faced the inner courtyard and the room was nicely quiet. The bathroom was clean."
77,0,The bed was too soft for my back. Otherwise everything was good.
78,1,"Very good, central location, tasty breakfast. Also very clean, nice rooms and friendly and helpful staff. Very good value for the price."
79,0,A little old-fashioned in the hallways and rooms. Reception is beautiful however
80,1,"Great location, very central!"
81,0,breakfast
82,1,location
83,1,"Good choice of breakfast, perfect location and comfortable room. And although it can get quite cold in the room, you have a portable electrical heater, which comes in handy. :)"
