score,text
0,Don't eat or drink here. Rooms okay but noisy. Parking scary. Bar and restaurant prices and service ridiculous. Wander to find better anywhere but here. Embarassed to think this represents Arizona for visitors.
1,"***********If you don't appreciate......\""The Best of The Best\""........ stay away**************\n\n\nWandering Horse has always provided a TEN STAR dinning expierence.\nThe food is Fanstatic.\nThe service is beyond OUTSTANDING.\n\nI've been going there, since they opened.\n\nWandering Horse you're ...... \""a Class Act\""."
1,"So so happy that I have it a try. Being dairy free I never thought I would enjoy a gelato shop, but it is possible. The ladies at frost have an extensive variety of gelatos which looked amazing but also offer an equally impressive sorbet selection.. Strawberry Cristal for V-day has to be the show stopper but at $25 bucks a serving I had to pass. The banana/Cabernet combo I conjured was by far the best sorbet I've ever had. All sorbets are made worn fruit (12 bananas in this case), sugar, and water ( or a whole bottle of Cabernet).. Delish, oddly Frost has warmed my heart. my only suggestions would be to play at the alternatives that they offer a bit stronger. Had I not been walking my child to sooth a pre nap tantrum several times and read the small print about the dairy-free deserts I would have never known, or stopped by.. Great work gals, we will be back!!"
1,"I just moved to the neighborhood, and I LOVE this place. In fact, I should probably give it 5 stars, but I haven't had the sushi there yet. I always get a rice bowl, and the crispy tofu is delicious! I've also had the salmon, and I thought the flavor was great, but the portion was a little small. My favorite thing on the menu is the red curry crab bisque soup, which is out of this world! (I just wish they had a smaller portion that wasn't $5 because I feel like I end up buying 2 dinners). \nWe tried the rice krispies rolled in ice cream for dessert, and I didn't think that was all that great - it sounds better on the menu than it actually is. You won't be disappointed here."
0,"I came here yesterday and had great service. Sandwich was great. Service was fast. But today I came here again and when I got to my car I noticed that there was no cheese in my sandwich so I went inside and asked for a couple piece to put on it. Max, a short Hispanic male worker, was at the register and started asking me for my order details then my ticket number. He started pushing buttons on the register for about four minutes, making a few pieces of cheese a huge deal. When another customer came in he told me to step aside and he will have to keep looking for my ticket so he can charge me for the cheese. I told him to just charge me then. He was very rude with every word that came out of his mouth. There were several other employees there that told him to just hit the cheese button at which point he snapped at them and said, \""don't argue with me!\""  I couldn't believe the disrespect, to me the customer and to his coworkers. This guy has no business being in customer service. He should be moved to the back to wash dishes if he can't handle being polite. After he snapped at the coworker, another one put two pieces of cheese in a sleeve and gave it to me. She said she was just going to pay for it.  \n\nI gave I've star for this restaurant based on Max. If he gets removed from here then I will review my rating."
1,"So this was my first time here, staff off with ambiance a+ it's such a quaint intimate setting with really cool decor.. Gives you a home feeling with the table settings! The staff is friendly and awesome ! I ordered to start calamari salad which was fresh and tasty !! Followed by our entrees homemade ravioli meatballs sausage !! It was honestly wonderful and reminded me of home cooking !! For desert we had their tirmasuzy which was good!! I'm baffled by poor reviews it was just a great place!! Def give it a try on your own"
0,"Do not come here if you want fast service.\nA few teammates and I came here for a quick bite to eat, and we only had an hour. At 5:00 in the afternoon on a Sunday, it was pretty dead and we expected to get in and out quickly. After being seated, our waiter was no where to be seen. After 10 minutes, I was forced to notify the hostess that we had not been greeted by anyone yet. It took another 10 minutes for our drinks to arrive (2 sodas and a water), and they were not even correct. When our food came out, I was served an entire salad when I specifically said a side salad with my steak. After realizing his mistake when inputting the order (because he didn't write it down), my correct order was put in. By the time my steak was served to me, my friends had already finished and I had no choice but to box the whole thing up because of our time constraint. It took FOREVER to get our checks, and after looking at mine, they charged me for the steak meal AND the salad meal! I paid in cash to hopefully speed the process up because it was already past our hour time limit. When the waiter came back, he told me there wasn't any change left in the drawer and that he had to get the manager to go in the safe to get more change for the register. At this point, I told him to just keep the change and we were out of there.\nForever."
1,"Pizza is mega rad. I'm a sucker for chewy, bubbly crust like theirs. And you can't beat the lunch specials at less than five bucks for pizza and a drink! Salad bar is a little sketch sometimes at this location. I've seen too many young ones duck the sneeze guard and get crazy with the toppings."
0,"I took my cat in to be boarded for a few days and to get neutered. When he came home he was very lethargic and wouldn't eat or drink. He actually wouldn't even really move and would hide under the covers all day which he never did before.\n\nI assumed this was all normal considering all he had been through and we had just moved into a new apartment. \n\nWell, I noticed last night that he was licking at a huge laceration on his lower abdomen. I must not have noticed it before because he has long hair and must've been keeping it clean and had been hiding so much.\n\nI called the vet and all she could say is that it's unfortunate that he was hurt and it didn't happen there. I know it sure didn't happen in my apt bc I literally took him from the vet to the new empty apt that still has no furniture so there is nothin sharp. I only have an air mattress and I've checked to make sure there aren't any sharp objects anywhere.\n\nSo now my poor cat just had his second surgery in 7 days and is so traumatized. I definitely didn't take him back but to another vet. Beware!!!!"
0,Made reservation for 7:45 and finally sat down at 9:10. Offered many apologies and a free desert but who needs the desert. I finally stood up and asked some friends that we're eating to share left overs and the bartender finally came to our rescued. Finally ate and food is good. I need my drinks comped while I waited over hour.
0,"Listen, people: maybe it was waiting until 11:15 PM to be seated, maybe it was the ear-splitting music which forced us to use our other senses, maybe it was purely hunger delirium -- but it was the best steak and sides we've ever had.\n\nNone of that means anything. It's such a low number of stars to give for such a great meal, expertly served. It means that everything else that STK allowed to happen that night negated any strong points they earned.\n\nWhile waiting for a table, we were witness to such a mind-blowingly disgusting display that it prompted a very serious discussion of our group giving up our reservation altogether, going to In-N-Out Burger (no pun intended), and calling it a night.\n\nAt the table next to us was a man who had obviously called an escort service, had them send a couple of \""workers\"" to meet him at STK, and the three of them gave us a floor show of french kissing, gyrating, miming fellatio and cunnilingus, and general dry-humping, that it's a miracle we could keep our steaks down. Management came over (without us even saying anything -- obviously others were bothered, too) and had terse words with the man, which culled the trio's amorous activities -- temporarily, It was only a matter of minutes until they resumed their table-side  menage-a-trois. When they finally left (like the slow fade of a Viagra commercial), our party came to a realization: we were actually *surrounded* by other couples who were very obviously the products of a \""business transaction\"" as opposed to.....actual dates. Gorgeous African-American young beauty in skin-tight scuba dress un-zippered to the navel seated with nebbish nerd, to cite an example.\n\nYou bet we're in Vegas. Anything goes. And we're fully up for that. But when the conduct of certain patrons supersedes the comfort of others ponying up significant sums for their Wagyu beef, or the management at STK does not see the slippery slope of cheerfully opening their doors as a clubhouse for the sex trade, they might as well change the theme to Thai Ping-Pong Bar and be done with it. (or -- as it was suggested by some in the party -- change the name to \""STD\""?)  Hepatitis (or worse?)  on the forks is a legitimate but secondary concern:  how about the group of us simply wanting to enjoy a glorious steak at midnight served by a wait staff who really knows their stuff without having to be witness to a Hustler Letter to the Editor in the making?\n\nStop the Ho's at the door. For the love of Christ, turn down the music. Now you've really got something."
0,"I work right down the street from La Tolteca so many of my co-workers visit here regularly. I finally visited...\n\nFOOD\nThe menu has a great variety and is pretty inexpensive. However, my burrito kinda started to taste funny as I finished it up- almost like cleaning solution--- I didn't get sick so I'm not sure what that taste was. \nI like the bakery and the sweets selection and the salsa is pretty good. \n\nOTHER\nWe also use this place to cater meal for our late working employees. The catered food was a lot better than my burrito. \n \nI will give La Tolteca another chance..."
1,"Trying new restaurants is a hobby of mine, if you couldn't tell. While doing research for this Vegas trip, I came across Andre's in the Monte Carlo. It's Michelin rated, the menu looked great and the location was perfect. After a few long days in Vegas, staying in the hotel on our last night was a great option. \n\nWhen you cross the casino floor to get to Andre's, you wonder if the noise from the party pit will be bothersome, that is, until the hostess opens the doors to the dining room. This was a really impressive room, it's dark and sexy in browns and blues with touches of purples and grays. High banquettes line one wall with tables around the room. We were seated in a banquette and conversations around us were so muted that if we didn't see the staff attending to other tables, we would have thought we were alone.  The room left us with quite the first impression. The music was great too, I think I knew every song, but I've been told I'm somewhat of a music savant.\n \nRoss, our waiter told us that Chef Andre also owns Alize at the top of the Palms. He used to own a free standing restaurant, also called Andre's, downtown for almost 30 years, but that recently closed. The extensive, mostly French wine list and cocktail menu are presented on an ipad. I went with a Willy Nilly, how can a drink with that name be bad? It was delicious. Gramercy Guy had the Bloody O Cosmo, mine was better.  After determining that we'd both go fish, the sommelier helped us pick out a nice bottle of white.\n\nDinner started with an amuse bouche of frois gras in the shape of a club. For me, it was the perfect creaminess and gaminess that I like. Best part was it did get me excited for the meal to come, my bouche was amused.\n\nThe service was exceptional and the food was superb, our only problem was we had a late lunch and then our new friends from Seattle and Puxatony, PA brought us In-N-Out Burger which is my fast food kryptonite so we couldn't eat most of our dinner. Ross even asked politely if everything was ok with our meal and we told him about the late lunch. I'm not sure he believed us.\n\nEnough people know about Andre's, so it can't be classified as a hidden gem, but I will tell you that I think it's a MUST. \n\nFor pictures and more reviews www.gramercygirl.com"
1,"Worth the 15 min. Drive. Creative concept came thru on all notes , well done  generous portions  left totally satisfied   love the  Drink Menu"
1,"This is a newly opened establishment, which occupies where Super Burrito was.\n\nI ordered a Large Bowl of Shrimp Tom Yum to go; this was my experience.\n\nAtmosphere:  Very clean, typical Thai Buddhist interior; clutter free and peaceful.  The smell of fresh cut ginger, lemongrass, and other traditional Thai ingredients permeated the air and made ordering very difficult. I love that their kitchen in small in size; it guarantees your food is cooked to-order and is completely visible to the customer, which I believe builds trust (cleanliness & food handling is top notch!). \n\nService:  The owner kindly insisted on a glass of water with lime for myself, which she kept refilling until I left.  She chatted with me until my soup was ready for pick-up; she's so sweet.  Food was ready in about 8 minutes or so but I wasn't in a rush.\n\nFood:  I'm actually finishing my huge portion of Shrimp Tom Yum; it's as close to authentic Thai as it gets, or at least since the last time I was in Thailand.  The Shrimp are generous in quantity, high quality (tail left on for flavor), and taste like the sea.  The broth is laced with pieces of ginger, lemongrass, tomatoes, garlic shoots, and quartered mushrooms.  The flavor is citrusy-seafood with a beautiful aftertaste of ginger...I can't get enough.\n\nPrice:  My Tom Yum was very affordable when compared to similar Thai Restaurant prices.  For how freshly it was prepared, the freshness and quality of the ingredients, and the service from the owner,  I would gladly come back.  Their menu was loaded full of traditional Thai and American-Thai favorites...can't wait to try more!\n\nI got a delicious Thai Tea; on the house!  The owner is one of the sweetest women I've met; you have to love Thai people.\n\n***I wish they had a website with a PDF menu option."
0,"I may edit this review at some point in time because I've heard a lot of great things about this venue. But one thing I want to really point out is that John and Eric (two short asian guys) are the worst and most unprofessional bouncers ever. First they accidentally let in the wrong girls in with us and left out our other half of our groups, clearly those extra girls who got in with us are obviously not with us, then we let them know, and they don't even own up to their mistake and complain that we are wasting their time and give us 10 seconds to gather our group of 40 people. Are you kidding me? If you can't maintain your attitude and problem solve then find a new gig, don't be rude."
0,"I give this a rating of zero for the head doctor in charge, Dr. Nichols and this is the only reason for the low rating.  The ladies at the front desk and the nurses are caring and wonderful. And I received good care in previous years with Ms.Vierra but she is no longer at this practice.  I also received 5 star dietary care with the dietician onsite, Mr. Valenzuela and he is still there.  If you need help with weight loss, this is the place.  \n\nThe new assistant, Whitmore is very nice but he is working under Dr. Nichols and I have found the level of care to be slipping.  I was in alot of discomfort and it took me more than 3 weeks of trying over the counter meds to get antibiotics for a serious infection.  The other reason I will not be going back there is lack of patience and bedside manner by Dr. Nichols.  When you are already not feeling well, the last thing you need is to deal with a doctor who is impatient, with a very accusatory bedside manner, and also  making incorrect assumptions about you.  I really think he may be ready for retirement and I can no longer recommend this practice only because of him.    \n\nIt is true what the previous reviewer said about how the receptionists are quick to point out you need to go back for another appointment to talk to the doctor even soon after you just had a visit.  It seems some follow up to the previous problem would not be unreasonable for a call back to answer questions.  This only happened once over the course of over 3+ years of going there, I would 99% of the time have to go back for another visit to talk about a related question, so I do back up the previous reviewer on yelp."
1,Had the 3 bao combo + ice tea.   Loved every bite of it!
1,"Located in the heart of chink town, you wouldn't expect to find a low-key, down to earth Italian eatery but this spot is a regular on my rotation. Nora's is great but I like this place better bc of the atmosphere, service, and food. Sundays for coffee and cookies is a must! I also recommend the pizza and all the pastas."
1,Great place. Stumbled on to it and glad I did. Looked at several other places. I liked the quality of the furniture and Joe made me a great deal on some floor samples and delivered that day. Highly recommend
0,"Saba's is gone! All property seized (by building owners?). Place is completely empty, tables, chairs, fixtures...gone. Been here a helluva lot of years.\n\nI'll miss the patio; RIP Saba's."
1,"Omg!finally! !a great taco place close to me me and my sister have been on a hunt for a while. . ..I tried the asada, carnitas.,and the al pastor....they were all good but the pastor with pineapple. ....with the Orange salsa. .omygod delicious!to die for...I was sad when they were all gone....the salsa bar has great options and all the essentials: cucumbers, radishes,carrots.they also give grilled onions and chiles toreados. Upon request.ah...I'm in love and I'll be back:)"
